#OTU ID	97_830_S97	88_821_S88	28_761_S28	72_805_S72	66_799_S66	71_804_S71	68_801_S68	67_800_S67	30_763_S30	83_816_S83	82_815_S82	69_802_S69	22_755_S22	41_774_S41	70_803_S70	21_754_S21	15_748_S15	1_734_S1
Otu2	2263	3776	123	585	180	424	291	248	409	2	1948	184	1146	966	114	2922	1259	361
Otu19	52	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	25	0
Otu3	266	2288	303	190	49	0	388	30	289	0	52	2	222	39	30	126	316	38
Otu5	90	542	8	0	0	0	183	63	100	2	102	0	75	417	0	0	0	0
Otu1	287	6559	214	3973	314	215	4865	4256	5596	1	750	479	9037	5519	202	5325	2046	7573
Otu15	35	78	10	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0
Otu33	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
Otu22	80	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Otu8	21	0	1	0	0	0	40	32	68	0	0	0	41	0	0	37	0	271
Otu10	59	0	8	0	0	0	36	0	25	0	0	0	0	0	0	170	13	1
Otu29	1	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
Otu14	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0
Otu12	0	98	0	0	0	0	0	0	0	0	0	0	0	51	0	50	68	0
Otu11	0	41	11	0	87	0	0	0	0	0	0	0	7	17	0	103	0	13
Otu24	0	1	1	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0
Otu4	0	0	5	0	0	0	0	0	0	0	0	0	189	51	0	1346	108	0
Otu17	0	0	4	0	0	0	37	0	32	0	0	0	0	48	0	0	0	0
Otu21	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu26	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu7	0	0	0	1	2	0	0	56	0	0	0	490	0	0	0	0	0	0
Otu25	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0
Otu30	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
Otu31	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0
Otu6	0	0	0	0	0	0	0	0	0	0	0	0	0	1470	0	0	0	0
Otu18	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0
Otu13	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0
Otu16	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0
Otu20	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0
Otu34	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0
Otu23	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
Otu27	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	12
Otu9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0
Otu28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
Otu32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
